row,100
a                   ,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
abaissement         ,[ 1  2  1  9 19 19  5 13  5 14 20  0  0  0  0  0  0  0  0  0]
abaisser            ,[ 1  2  1  9 19 19  5 18  0  0  0  0  0  0  0  0  0  0  0  0]
abaissons           ,[ 1  2  1  9 19 19 15 14 19  0  0  0  0  0  0  0  0  0  0  0]
abandon             ,[ 1  2  1 14  4 15 14  0  0  0  0  0  0  0  0  0  0  0  0  0]
abandonne           ,[ 1  2  1 14  4 15 14 14  5  0  0  0  0  0  0  0  0  0  0  0]
abandonner          ,[ 1  2  1 14  4 15 14 14  5 18  0  0  0  0  0  0  0  0  0  0]
abandonnerait       ,[ 1  2  1 14  4 15 14 14  5 18  1  9 20  0  0  0  0  0  0  0]
abandonnerez        ,[ 1  2  1 14  4 15 14 14  5 18  5 26  0  0  0  0  0  0  0  0]
abandonnes          ,[ 1  2  1 14  4 15 14 14  5 19  0  0  0  0  0  0  0  0  0  0]
abandonnez          ,[ 1  2  1 14  4 15 14 14  5 26  0  0  0  0  0  0  0  0  0  0]
abandonné           ,[ 1  2  1 14  4 15 14 14 27  0  0  0  0  0  0  0  0  0  0  0]
abandonnée          ,[ 1  2  1 14  4 15 14 14 27  5  0  0  0  0  0  0  0  0  0  0]
abatte              ,[ 1  2  1 20 20  5  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
abattement          ,[ 1  2  1 20 20  5 13  5 14 20  0  0  0  0  0  0  0  0  0  0]
abattu              ,[ 1  2  1 20 20 21  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
abattue             ,[ 1  2  1 20 20 21  5  0  0  0  0  0  0  0  0  0  0  0  0  0]
abattus             ,[ 1  2  1 20 20 21 19  0  0  0  0  0  0  0  0  0  0  0  0  0]
abbaye              ,[ 1  2  2  1 25  5  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
abbé                ,[ 1  2  2 27  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
abhorre             ,[ 1  2  8 15 18 18  5  0  0  0  0  0  0  0  0  0  0  0  0  0]
aboie               ,[ 1  2 15  9  5  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
abominable          ,[ 1  2 15 13  9 14  1  2 12  5  0  0  0  0  0  0  0  0  0  0]
